lineage,precision,recall,f1_score,support
B.1.427,0.9887,0.9943,0.9917,532
B.1.428,0.869,0.9635999999999999,0.9095000000000001,108
B.1.429,0.9962,0.9966000000000002,0.9964999999999999,1529
B.1.429.1,1.0,1.0,1.0,13
B.1.432,1.0,1.0,1.0,23
B.1.433,0.9856999999999999,0.9633,0.9721,55
B.1.434,0.8333,0.8,0.7834,15
B.1.435,1.0,1.0,1.0,19
B.1.436,1.0,0.9667,0.9800000000000001,31
B.1.437,0.9667,0.95,0.9466999999999999,19
B.1.438,1.0,0.9084,0.9457000000000001,34
B.1.438.1,0.984,1.0,0.9917,117
B.1.438.2,0.9667,1.0,0.9800000000000001,22
B.1.438.4,1.0,1.0,1.0,12
B.1.439,0.9800000000000001,0.9800000000000001,0.9778,46
B.1.44,1.0,0.9667,0.9800000000000001,29
B.1.441,1.0,1.0,1.0,50
B.1.442,0.9,0.9,0.9,11
B.1.443,0.9800000000000001,0.95,0.9602999999999999,40
B.1.444,1.0,1.0,1.0,11
B.1.445,0.85,0.9,0.8667,12
B.1.446,0.9334,0.8667,0.8766999999999999,29
B.1.448,1.0,0.9833000000000001,0.9909000000000001,53
B.1.450,0.975,0.9417,0.9513999999999999,33
B.1.451,0.95,0.9667,0.9513999999999999,30
B.1.452,1.0,0.975,0.9856999999999999,35
B.1.453,0.9153,0.9357,0.9221999999999999,77
B.1.456,1.0,0.85,0.9000999999999999,20
B.1.459,0.9856999999999999,0.9464,0.9646000000000001,72
B.1.460,1.0,0.85,0.9000999999999999,17
B.1.462,0.9667,1.0,0.9800000000000001,23
B.1.463,1.0,0.9667,0.9800000000000001,31
B.1.465,1.0,0.9875,0.9933,84
B.1.466,0.9,0.75,0.8000999999999999,17
B.1.466.1,1.0,0.95,0.9667,21
B.1.466.2,0.975,1.0,0.9856999999999999,30
B.1.467,1.0,1.0,1.0,15
B.1.468,0.865,0.925,0.8916999999999999,41
B.1.469,0.9833000000000001,0.9667,0.9709,57
B.1.470,0.9875,0.9875,0.9875,85
