lineage,precision,recall,f1_score,support
B.1.184,0.725,0.8,0.7267,19
B.1.185,0.9466999999999999,1.0,0.9689,33
B.1.186,0.5946,0.7417999999999999,0.6272,31
B.1.187,0.525,0.55,0.5067,14
B.1.188,1.0,0.95,0.9667,24
B.1.189,0.8683,0.9556000000000001,0.9056000000000001,90
B.1.19,0.8150000000000001,1.0,0.8783000000000001,30
B.1.190,0.99,0.9875,0.9879999999999999,83
B.1.191,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
B.1.192,0.9314,0.9800000000000001,0.9484999999999999,58
B.1.193,0.5917,0.65,0.5867,13
B.1.194,0.8167,0.9,0.8466999999999999,16
B.1.195,0.8667,1.0,0.9134,14
B.1.196,0.5866,0.85,0.6334,13
B.1.197,0.9856999999999999,0.9833000000000001,0.9832000000000001,55
B.1.198,0.9333,1.0,0.95,12
B.1.199,0.9732,0.9522999999999999,0.9597,64
B.1.2,0.9927999999999999,0.9399000000000001,0.9648000000000001,3576
B.1.201,0.97,0.8213000000000001,0.874,67
B.1.202,0.9963000000000001,0.9962,0.9961,265
B.1.203,0.925,0.95,0.9190999999999999,24
B.1.204,1.0,0.925,0.9524000000000001,38
B.1.205,1.0,0.95,0.9667,22
B.1.206,1.0,0.9982,0.9991,549
B.1.207,0.9724999999999999,0.9809000000000001,0.9766,214
B.1.208,0.3,0.4,0.33340000000000003,4
B.1.209,1.0,1.0,1.0,15
B.1.21,0.8176,0.9788,0.8888999999999999,330
B.1.210,0.8230000000000001,1.0,0.9,94
B.1.211,0.9,0.8,0.8168,15
B.1.212,0.2667,0.3,0.2584,15
B.1.213,0.6,0.45,0.4835,18
B.1.214,1.0,0.975,0.9856999999999999,38
B.1.215,0.9216999999999999,1.0,0.9555,77
B.1.216,0.9417,0.975,0.9514000000000001,38
B.1.217,1.0,0.775,0.8572,40
B.1.218,1.0,0.9501,0.9714,120
B.1.219,1.0,1.0,1.0,58
B.1.22,0.9926,0.9923,0.9923,521
B.1.220,0.9833000000000001,1.0,0.9908999999999999,57
B.1.221,0.9991,0.9946999999999999,0.9971000000000002,1154
B.1.222,0.8423,0.8235000000000001,0.8307000000000002,165
B.1.223,0.9167,0.9815999999999999,0.9465,216
B.1.224,1.0,0.975,0.9856999999999999,36
B.1.225,0.9666,0.9333,0.9451,55
B.1.227,0.925,0.9,0.8734,16
B.1.228,0.9571,0.5892000000000001,0.7009000000000001,77
B.1.229,0.8,0.7666999999999999,0.78,31
